2019-02-05 21:27:14.615118,time,altitude,velocity,acceleration
2019-02-05 21:27:14.657789,2.48,75.3621339098847,35.79995534365749,-10.057248966123298
2019-02-05 21:27:14.657834,2.52,76.794132123631,35.39766538501256,-10.052323580238673
2019-02-05 21:27:14.657871,2.56,78.2100387390315,34.99557244180301,-10.047448831015059
2019-02-05 21:27:14.657907,2.6,79.60986163670363,34.593674488562414,-10.042623492274709
2019-02-05 21:27:14.657941,2.64,80.99360861624612,34.19196954887143,-10.037846360972095
2019-02-05 21:27:14.657977,2.68,82.36128739820097,33.790455694432545,-10.033116259020753
2019-02-05 21:27:14.658013,2.72,83.71290562597828,33.38913104407172,-10.028432035109642
2019-02-05 21:27:14.658048,2.7600000000000002,85.04847086774114,32.98799376266733,-10.023792566509272
2019-02-05 21:27:14.658084,2.8000000000000003,86.36799061824784,32.58704206000696,-10.019196760867922
2019-02-05 21:27:14.658119,2.84,87.67147230064812,32.18627418957224,-10.014643557998175
2019-02-05 21:27:14.658154,2.88,88.958923268231,31.785688447252312,-10.010131931653989
2019-02-05 21:27:14.658188,2.92,90.2303508061211,31.385283169986153,-10.00566089129857
2019-02-05 21:27:14.658223,2.96,91.48576213292054,30.98505673433421,-10.001229483863193
2019-02-05 21:27:14.658258,3.0,92.72516440229391,30.585007554979683,-9.996836795497202
2019-02-05 21:27:14.658301,3.04,93.9485647044931,30.185134083159795,-9.992481953309321
2019-02-05 21:27:14.658348,3.08,95.15597006781948,29.78543480502742,-9.988164127100461
2019-02-05 21:27:14.658382,3.12,96.34738746002058,29.385908239943404,-9.983882531088183
2019-02-05 21:27:14.658415,3.16,97.52282378961831,28.986552938699877,-9.979636425622907
2019-02-05 21:27:14.658449,3.2,98.6822859071663,28.58736748167496,-9.975425118896073
2019-02-05 21:27:14.658482,3.24,99.8257806064333,28.188350476919116,-9.971247968640313
2019-02-05 21:27:14.658516,3.2800000000000002,100.95331462551006,27.789500558173504,-9.967104383821816
2019-02-05 21:27:14.658550,3.3200000000000003,102.064894647837,27.39081638282063,-9.962993826324967
2019-02-05 21:27:14.658583,3.36,103.16052730314982,26.992296629767633,-9.958915812629408
